title,type,description,release_year,runtime,genres,imdb_score,tmdb_popularity,service
The Headless Horseman,MOVIE,"The village of Sleepy Hollow is getting ready to greet the new schoolteacher, Ichabod Crane, who is coming from New York. Crane has already heard of the village's legendary ghost, a headless horseman who is said to be searching for the head that he lost in battle. The schoolteacher has barely arrived when he begins to pursue the beautiful young heiress Katrina Van Tassel, angering Abraham Van Brunt, who is courting her. Crane's harsh, small-minded approach to teaching also turns some of the villagers against him. Soon there many who would like to see him leave the village altogether.",1922,76,"['horror', 'comedy', 'drama']",4.9,0.747,Paramount
Sherlock Holmes and the Secret Weapon,MOVIE,"In the midst of World War II, Sherlock Holmes rescues the Swiss inventor of a new bomb-sight from the Gestapo and brings him to England, where he shortly falls into the clutches of Professor Moriarty.",1943,68,"['thriller', 'crime', 'drama']",6.5,4.593,Paramount
The Kennel Murder Case,MOVIE,"Philo Vance, accompanied by his prize-losing Scottish terrier, investigates the locked-room murder of a prominent and much-hated collector whose broken Chinese vase provides an important clue.",1933,73,['crime'],6.9,2.496,Paramount
The Woman in Green,MOVIE,"Sherlock Holmes investigates when young women around London turn up murdered, each with a finger severed. Scotland Yard suspects a madman, but Holmes believes the killings to be part of a diabolical plot.",1945,68,"['thriller', 'crime', 'drama']",6.6,8.992,Paramount
Fear in the Night,MOVIE,"The dream is unusually vivid: Bank employee Vince Grayson finds himself murdering a man in a sinister octagonal-shaped room lined with mirrors while a mysterious woman breaks into a safe. It is so vivid that Vince suspects it may have really happened. To get the dream off his mind, he goes on a picnic with some relatives. When a thunderstorm forces his party into a nearby mansion, Vince discovers that the bizarre room does exist, and it means nothing but trouble.",1947,72,"['thriller', 'crime', 'drama']",6.4,3.838,Paramount
San Pietro,MOVIE,"This documentary movie is about the battle of San Pietro, a small village in Italy. Over 1,100 US soldiers were killed while trying to take this location, that blocked the way for the Allied forces from the Germans.",1945,32,"['war', 'documentation']",,2.659,Paramount
Gulliver's Travels,MOVIE,"Gulliver washes ashore on Lilliput and attempts to prevent war between that tiny kingdom and its equally-miniscule rival, Blefiscu, as well as smooth the way for the romance between the Princess and Prince of the opposing lands. In this he is alternately aided and hampered by the Lilliputian town crier and general fussbudget, Gabby. A life-threatening situation develops when the bumbling trio of Blefiscu spies, Sneak, Snoop, and Snitch, manage to steal Gulliver's pistol.",1939,76,"['action', 'animation', 'family', 'comedy', 'fantasy', 'romance']",6.6,5.762,Paramount
The Inspector General,MOVIE,"An illiterate stooge in a traveling medicine show wanders into a strange town and is picked up on a vagrancy charge. The town's corrupt officials mistake him for the inspector general whom they think is traveling in disguise. Fearing he will discover they've been pocketing tax money, they make several bungled attempts to kill him.",1949,101,"['romance', 'comedy']",6.7,3.945,Paramount
The Vampire Bat,MOVIE,"When the villagers of Klineschloss start dying of blood loss, the town fathers suspect a resurgence of vampirism. While police inspector Karl remains skeptical, scientist Dr. von Niemann cares for the vampire's victims one by one, and suspicion falls on simple-minded Herman Gleib because of his fondness for bats. A blood-thirsty mob hounds Gleib to his death, but the vampire attacks don't stop.",1933,64,"['horror', 'thriller', 'drama', 'romance', 'scifi']",5.7,4.216,Paramount
Svengali,MOVIE,A music maestro uses hypnotism on a young model he meets in Paris to make her both his muse and wife.,1931,81,"['horror', 'fantasy', 'drama', 'romance', 'scifi']",6.8,1.237,Paramount
