title,type,description,release_year,runtime,genres,imdb_score,tmdb_popularity,service
The Latino List: Volume 2,MOVIE,"Documentary film interviews leading Latinos on race, identity, and achievement.",2012,49,['documentation'],5.7,0.654,HBO Max
Saving Pelican 895,MOVIE,"HBO Documentary Films Presents the story of the effort to save the 895th surviving oiled pelican in Louisiana, showing how conservationists, government agencies and wildlife activists joined forces to preserve this one life.",2011,39,['documentation'],,1.4,HBO Max
Silencing the Song: An Afghan Fallen Star,MOVIE,"In this follow-up to 'Afghan Star,' filmmaker Havana Marking returns to Afghanistan to check in on infamous contestant Setara from the popular Afghan talent show of the same name. The film looks at where Setara is now and the impact that her controversial performance has had on her life and her country, including ever-present threats to her safety.",2011,34,['documentation'],5.1,0.6,HBO Max
States of Grace,SHOW,"Grace is a 30-something divorcee. But finding a mate isn't an easy task...and unlike the fairy tale, the prince often turns into a frog--not the other way around. This comedy series follows Grace as she juggles potential love interests with the support of her overprotective mother Hilda, her best friend Selma, and Selma's pre-teen daughter Tereza.",2012,27,['comedy'],7.4,1.159,HBO Max
"George Lopez: It's Not Me, It's You",MOVIE,Comedy superstar George Lopez performs live in front of a packed house at the Nokia Theatre in L.A. in this stand-up special.,2012,56,"['comedy', 'documentation']",5.2,0.848,HBO Max
The Latino List,MOVIE,"Documentary film interviews leading Latinos on race, identity, and achievement.",2011,60,['documentation'],6.5,3.76,HBO Max
Single Long,SHOW,A group of friends living their post-college lives in Chicago navigate work and singledom in this series,2012,15,['comedy'],7.2,0.903,HBO Max
Love Crimes Of Kabul,MOVIE,"An intimate portrait of three young afghan women accused of committing ""moral crimes.""",2011,71,['documentation'],6.8,1.898,HBO Max
Citizen USA: A 50 State Road Trip,MOVIE,"Alexandra Pelosi's patriotic travelogue crisscrosses the U.S. to attend naturalization ceremonies in all 50 states and listens to recent immigrants from around the world explain their decision to become American citizens. The film is inspired by the naturalization process experienced by Pelosi's Dutch-born husband, Michiel Vos.",2011,51,['documentation'],5.6,1.243,HBO Max
Kany Garcia,MOVIE,,2012,53,[],,0.6,HBO Max
I Can Be President: A Kid's-Eye View,MOVIE,"What do our future leaders think? Find out in this enlightening documentary that brings kids' ideas about the presidency to life via animation. Sweet and charming, yet with observations as sharp as tacks, these elementary-school youngsters opine on such issues as: the rules about becoming president; whether they could handle the job, now or in the future; and more.",2011,21,"['documentation', 'family']",5.5,0.6,HBO Max
Bud Greenspan Presents Vancouver 2010: Stories of Olympic Glory,MOVIE,A documentary covering the 2010 Olympic Games in Vancouver.,2011,116,"['documentation', 'sport']",6.4,1.372,HBO Max
Habla Texas,MOVIE,Latino's in Texas talk about what it is like to grow up Hispanic.,2011,62,['documentation'],6.9,0.6,HBO Max
Rick and Morty,SHOW,"Rick is a mentally-unbalanced but scientifically gifted old man who has recently reconnected with his family. He spends most of his time involving his young grandson Morty in dangerous, outlandish adventures throughout space and alternate universes. Compounded with Morty's already unstable family life, these events cause Morty much distress at home and school.",2013,22,"['scifi', 'action', 'animation', 'comedy']",9.2,238.434,HBO Max
Anthony Bourdain: Parts Unknown,SHOW,"Bourdain travels across the globe to uncover little-known areas of the world and celebrate diverse cultures by exploring food and dining rituals. Known for his curiosity, candor, and acerbic wit, Bourdain takes viewers off the beaten path of tourist destinations – including some war-torn parts of the world – and meets with a variety of local citizens to offer a window into their lifestyles, and occasionally communes with an internationally lauded chef on his journeys.",2013,43,['documentation'],8.8,10.438,HBO Max
True Detective,SHOW,"An American anthology police detective series utilizing multiple timelines in which investigations seem to unearth personal and professional secrets of those involved, both within or outside the law.",2014,60,"['drama', 'crime', 'thriller']",8.9,43.786,HBO Max
Nathan For You,SHOW,"Self-proclaimed business expert, writer, director and comedian Nathan Fielder helps real small businesses turn a profit with marketing tactics that no ordinary consultant would dare to attempt. From driving foot traffic to an off-the-strip souvenir shop by using Hollywood flair and a Johnny Depp impersonator, to creating a rebate that can only be redeemed by climbing a mountain, to founding a coffee shop called ""Dumb Starbucks,” Nathan has always gone to the limit to make his ideas come to life. With his unorthodox approach to problem solving, Nathan’s genuine efforts to do good often draw the real people he encounters into an experience far beyond what they signed up for.",2013,25,"['comedy', 'documentation']",8.9,10.796,HBO Max
Banshee,SHOW,Banshee is an American drama television series set in a small town in Pennsylvania Amish country and features an enigmatic ex-con posing as a murdered sheriff who imposes his own brand of justice while also cooking up plans that serve his own interests.,2013,51,"['crime', 'thriller', 'action', 'drama']",8.4,65.693,HBO Max
Silicon Valley,SHOW,"In the high-tech gold rush of modern Silicon Valley, the people most qualified to succeed are the least capable of handling success. Partially inspired by Mike Judge’s own experiences as a Silicon Valley engineer in the late ‘80s, Silicon Valley is an American sitcom that centers around six programmers who are living together and trying to make it big in the Silicon Valley.",2014,29,['comedy'],8.5,41.72,HBO Max
The Leftovers,SHOW,"When 2% of the world's population abruptly disappears without explanation, the world struggles to understand just what they're supposed to do about it. The drama series 'The Leftovers' is the story of the people who didn't make the cut.",2014,58,"['scifi', 'drama', 'fantasy', 'thriller']",8.3,52.732,HBO Max
